date,type,N,year,month
2002-01-30,CRIM,558,2002,2002-01-01
2002-01-30,CIVIL,2104,2002,2002-01-01
2002-01-30,ARREST,241,2002,2002-01-01
2002-01-31,CIVIL,1346,2002,2002-01-01
2002-01-31,ARREST,191,2002,2002-01-01
2002-01-31,CRIM,421,2002,2002-01-01
2002-01-31,WARN,1,2002,2002-01-01
2002-02-01,ARREST,321,2002,2002-02-01
2002-02-01,CRIM,410,2002,2002-02-01
2002-02-01,CIVIL,1477,2002,2002-02-01
2002-02-01,WARN,2,2002,2002-02-01
2002-02-02,CRIM,504,2002,2002-02-01
2002-02-02,ARREST,289,2002,2002-02-01
2002-02-02,CIVIL,1893,2002,2002-02-01
2002-02-02,WARN,2,2002,2002-02-01
2002-02-03,CRIM,407,2002,2002-02-01
2002-02-03,CIVIL,1391,2002,2002-02-01
2002-02-03,ARREST,339,2002,2002-02-01
2002-02-03,WARN,5,2002,2002-02-01
2002-02-04,CIVIL,2081,2002,2002-02-01
2002-02-04,CRIM,361,2002,2002-02-01
2002-02-04,ARREST,269,2002,2002-02-01
2002-02-04,WARN,2,2002,2002-02-01
2002-02-05,CIVIL,1835,2002,2002-02-01
2002-02-05,CRIM,475,2002,2002-02-01
2002-02-05,ARREST,249,2002,2002-02-01
2002-02-05,WARN,1,2002,2002-02-01
2002-02-06,CIVIL,2314,2002,2002-02-01
2002-02-06,CRIM,513,2002,2002-02-01
2002-02-06,ARREST,274,2002,2002-02-01
2002-02-06,WARN,6,2002,2002-02-01
2002-02-07,CRIM,517,2002,2002-02-01
2002-02-07,CIVIL,2652,2002,2002-02-01
2002-02-07,ARREST,258,2002,2002-02-01
2002-02-07,WARN,3,2002,2002-02-01
2002-02-08,CIVIL,3006,2002,2002-02-01
2002-02-08,ARREST,335,2002,2002-02-01
2002-02-08,CRIM,582,2002,2002-02-01
2002-02-08,WARN,6,2002,2002-02-01
2002-02-09,CIVIL,2397,2002,2002-02-01
2002-02-09,ARREST,398,2002,2002-02-01
2002-02-09,CRIM,566,2002,2002-02-01
2002-02-09,WARN,6,2002,2002-02-01
2002-02-10,CIVIL,1801,2002,2002-02-01
2002-02-10,CRIM,549,2002,2002-02-01
2002-02-10,ARREST,297,2002,2002-02-01
2002-02-10,WARN,3,2002,2002-02-01
2002-02-11,CRIM,486,2002,2002-02-01
2002-02-11,CIVIL,2280,2002,2002-02-01
2002-02-11,ARREST,198,2002,2002-02-01
2002-02-11,WARN,5,2002,2002-02-01
2002-02-12,ARREST,257,2002,2002-02-01
2002-02-12,CIVIL,2831,2002,2002-02-01
2002-02-12,CRIM,519,2002,2002-02-01
2002-02-12,WARN,4,2002,2002-02-01
2002-02-13,CRIM,480,2002,2002-02-01
2002-02-13,CIVIL,2870,2002,2002-02-01
2002-02-13,ARREST,220,2002,2002-02-01
2002-02-13,WARN,5,2002,2002-02-01
2002-02-14,ARREST,262,2002,2002-02-01
2002-02-14,CIVIL,2764,2002,2002-02-01
2002-02-14,CRIM,481,2002,2002-02-01
2002-02-14,WARN,3,2002,2002-02-01
2002-02-15,CIVIL,3251,2002,2002-02-01
2002-02-15,ARREST,385,2002,2002-02-01
2002-02-15,CRIM,630,2002,2002-02-01
2002-02-15,WARN,2,2002,2002-02-01
2002-02-16,ARREST,384,2002,2002-02-01
2002-02-16,CRIM,631,2002,2002-02-01
2002-02-16,CIVIL,2821,2002,2002-02-01
2002-02-16,WARN,1,2002,2002-02-01
2002-02-17,CRIM,416,2002,2002-02-01
2002-02-17,CIVIL,1372,2002,2002-02-01
2002-02-17,ARREST,348,2002,2002-02-01
2002-02-17,WARN,4,2002,2002-02-01
2002-02-18,CIVIL,2098,2002,2002-02-01
2002-02-18,CRIM,532,2002,2002-02-01
2002-02-18,ARREST,230,2002,2002-02-01
2002-02-18,WARN,1,2002,2002-02-01
2002-02-19,CIVIL,2323,2002,2002-02-01
2002-02-19,CRIM,483,2002,2002-02-01
2002-02-19,ARREST,270,2002,2002-02-01
2002-02-20,CIVIL,2279,2002,2002-02-01
2002-02-20,ARREST,262,2002,2002-02-01
2002-02-20,CRIM,452,2002,2002-02-01
2002-02-20,WARN,4,2002,2002-02-01
2002-02-21,ARREST,262,2002,2002-02-01
2002-02-21,CIVIL,2110,2002,2002-02-01
2002-02-21,CRIM,556,2002,2002-02-01
2002-02-21,WARN,1,2002,2002-02-01
2002-02-22,CIVIL,2506,2002,2002-02-01
2002-02-22,CRIM,513,2002,2002-02-01
2002-02-22,ARREST,380,2002,2002-02-01
2002-02-22,WARN,1,2002,2002-02-01
2002-02-23,CRIM,587,2002,2002-02-01
2002-02-23,CIVIL,2433,2002,2002-02-01
2002-02-23,ARREST,455,2002,2002-02-01
2002-02-23,WARN,2,2002,2002-02-01
2002-02-24,CRIM,558,2002,2002-02-01
2002-02-24,ARREST,376,2002,2002-02-01
2002-02-24,CIVIL,2063,2002,2002-02-01
2002-02-24,WARN,5,2002,2002-02-01
2002-02-25,ARREST,217,2002,2002-02-01
2002-02-25,CIVIL,2510,2002,2002-02-01
2002-02-25,CRIM,493,2002,2002-02-01
2002-02-26,CIVIL,2613,2002,2002-02-01
2002-02-26,CRIM,497,2002,2002-02-01
2002-02-26,ARREST,225,2002,2002-02-01
2002-02-26,WARN,3,2002,2002-02-01
2002-02-27,CRIM,453,2002,2002-02-01
2002-02-27,ARREST,180,2002,2002-02-01
2002-02-27,CIVIL,1691,2002,2002-02-01
2002-02-27,WARN,4,2002,2002-02-01
2002-02-28,CRIM,474,2002,2002-02-01
2002-02-28,CIVIL,2280,2002,2002-02-01
2002-02-28,ARREST,226,2002,2002-02-01
2002-02-28,WARN,4,2002,2002-02-01
2002-03-01,CRIM,579,2002,2002-03-01
2002-03-01,CIVIL,2734,2002,2002-03-01
2002-03-01,ARREST,331,2002,2002-03-01
2002-03-01,WARN,2,2002,2002-03-01
2002-03-02,CIVIL,2168,2002,2002-03-01
2002-03-02,CRIM,566,2002,2002-03-01
2002-03-02,ARREST,429,2002,2002-03-01
2002-03-02,WARN,3,2002,2002-03-01
2002-03-03,CIVIL,1502,2002,2002-03-01
2002-03-03,ARREST,310,2002,2002-03-01
2002-03-03,CRIM,380,2002,2002-03-01
2002-03-03,WARN,1,2002,2002-03-01
2002-03-04,ARREST,228,2002,2002-03-01
2002-03-04,CIVIL,2443,2002,2002-03-01
2002-03-04,CRIM,472,2002,2002-03-01
2002-03-05,CIVIL,2308,2002,2002-03-01
2002-03-05,ARREST,219,2002,2002-03-01
